sta,lon,lat,elev,g_value,g_error
10100100,116.22,40.25,101.0,558.7956748902718,0.007044620552997092
10100200,115.885,39.603,87.0,524.585498444687,0.00884212382787498
10107200,114.9,40.828,832.07,256.41209887061575,0.009560214466346263
10114700,114.149,40.126,942.31,96.21010055047789,0.0062379227515512855
10119201,115.965,40.365,555.9,330.1945998181508,0.006995264956275246
11000220,116.31,39.946,51.9,574.9999761726892,0.004560813836699755
11001020,116.649,39.917,55.0,601.9999600668128,0.005883575166335584
11002322,116.636,40.301,30.0,593.006459681643,0.007412215259161521
11002400,116.644,40.136,42.0,575.0023675976643,0.006471395176416028
11002521,116.392,40.176,36.0,594.8039305334673,0.006448420604324662
11002802,116.072,40.287,233.7,465.19793953063214,0.006485285681328539
11003021,115.992,40.466,480.8,349.9995841405978,0.0070670396889420065
11003221,116.166,40.53,516.0,389.6004702760848,0.007792393598294575
11003320,116.348,40.554,703.0,348.19560605434685,0.008216996941248235
11003420,116.537,40.558,625.0,384.1983547036045,0.008386224118353495
11003820,116.143,40.051,73.0,578.6051525713573,0.006263667051612159
11003902,116.15,40.025,11.0,566.0102134997715,0.006019981168821757
11004021,116.24,39.913,65.9,571.4098942629141,0.006142539328475948
11004120,116.175,40.038,65.0,582.2043339711662,0.006510346963100455
11010124,116.402,39.829,48.0,580.3905642056734,0.00612159204111814
11010223,116.337,39.731,39.0,587.6012149727882,0.006957748521157051
11010320,116.137,39.747,47.8,546.2002108289697,0.007499120148500127
11010420,116.113,39.85,74.0,533.6037741983248,0.0070388166760283295
11010520,116.316,39.509,40.0,535.3905860455909,0.00732130192844143
11010922,116.028,39.611,31.3,529.9941920097015,0.007604559987594108
11013902,116.15,40.025,11.0,566.0101945412645,0.0075226019020647635
11014121,116.175,40.04,200.0,531.8069380864152,0.007920568819423749
11017520,116.787,39.778,16.0,598.405434937873,0.007028251077968908
11018621,116.64,40.625,28.0,501.20076608120127,0.008316595726126742
11018920,116.657,40.486,21.0,495.80291807956786,0.008003244889043032
11019120,116.5,40.167,46.0,585.803169836636,0.006773401093994182
