P1,P2,DC,Err,res,meter
11000220,11019721,41.40244157976042,0.007177073869498032,0.0009111479742855977,C098
11019721,11090100,44.99065401254063,0.009029101260796694,-0.005969601660325452,C098
11090100,11090101,28.80360640295794,0.01059617904214451,-0.008674063281841171,C098
11090101,11020220,116.99643295412943,0.011363733528819383,0.000940234491793035,C098
11020220,11090102,43.204129766695814,0.01199080229474047,0.0016876684005637799,C098
11090102,11020220,-43.204129766695814,0.01199080229474047,0.0033506789962061134,C098
11020220,11090101,-116.99643295412943,0.011363733528819383,-0.005525800626713817,C098
11090101,11090100,-28.80360640295794,0.01059617904214451,-0.0009101461397982291,C098
11090100,11090101,28.80360640295794,0.01059617904214451,0.003584083968103613,C098
11090101,11020220,116.99643295412943,0.011363733528819383,-0.009272627700809721,C098
11020220,11090102,43.204129766695814,0.01199080229474047,0.001444997294711925,C098
11090102,11020220,-43.204129766695814,0.01199080229474047,0.0014207235015035735,C098
11020220,11090101,-116.99643295412943,0.011363733528819383,-0.0011678557793715072,C098
11090101,11090100,-28.80360640295794,0.01059617904214451,-0.00254109637072375,C098
11090100,11019721,-44.99065401254063,0.009029101260796694,-0.004330864857308825,C098
11019721,11000220,-41.40244157976042,0.007177073869498032,0.024529606181950214,C098
11000220,11003902,8.99137938659078,0.008002608182189784,0.003281268400835202,C098
11003902,11013902,-0.0033786240587687644,0.010597693900247824,-0.001751763185275661,C098
11013902,11003902,0.0033786240587687644,0.010597693900247824,-0.0017517631852019995,C098
11003902,11004120,-16.19777340887788,0.009656398207511787,0.000523645981463261,C098
11004120,11014121,50.39974218096211,0.011357865242056142,0.0021574961748740407,C098
11014121,11004120,-50.39974218096211,0.011357865242056142,0.002157496175328788,C098
11004120,11003820,3.60250825022365,0.009869591078735513,-0.0010755385436254095,C098
11003820,11019721,45.00632735182387,0.008748349922132897,-0.002570968778918825,C098
11019721,11003820,-45.00632735182387,0.008748349922132897,-0.0024752490407777827,C098
11003820,11004120,-3.60250825022365,0.009869591078735513,-0.0009798188051686196,C098
11004120,11003902,16.19777340887788,0.009656398207511787,0.0006193657195403546,C098
11003902,11000220,-8.99137938659078,0.008002608182189784,0.003376988138953152,C098
13064422,13064320,-14.39190751079019,0.010660130056840678,-0.007194575535246273,C098
13064320,13064422,14.39190751079019,0.010660130056840678,-0.005945389891104824,C098
13064422,13064524,-18.002252202728755,0.011827669425729034,0.007753330523815549,C098
13064524,13072100,106.20922674123818,0.013974640618744483,-0.006281441340959759,C098
13072100,13072200,-19.803998870001948,0.015848141684015195,0.0008932108340431455,C098
13072200,13072301,41.39899828699029,0.017553410450086317,-0.005456810098422693,C098
13072301,13090000,27.003528125955057,0.019116617602746383,0.004620883200242787,C098
13090000,13090101,-198.00408661622302,0.020565396637389235,-0.0016182149069550178,C098
13090101,13090000,198.00408661622302,0.020565396637389235,-0.0016182149073813434,C098
13090000,13072301,-27.003528125955057,0.019116617602746383,0.004620883200175285,C098
13072301,13072200,-41.39899828699029,0.017553410450086317,-0.005456810097726361,C098
13072200,13072100,19.803998870001948,0.015848141684015195,0.000893210835190672,C098
13072100,13064524,-106.20922674123818,0.013974640618744483,-0.006281441339837102,C098
13064524,13064422,18.002252202728755,0.011827669425729034,0.007753330525467561,C098
13064422,13064620,14.40123985054646,0.011467720132014603,-0.004487161278698082,C098
13064620,13072402,43.206007761148385,0.012906093432279744,-0.0007407126227789718,C098
13072402,10107200,5.383846826789863,0.014478809671591252,0.00047079038997299705,C098
10107200,13072402,-5.383846826789863,0.014478809671591252,0.0004707903900129651,C098
13072402,13072600,95.39431151497669,0.013935816764018364,-0.008433516298936183,C098
13072600,13072701,79.19882086826593,0.01464227876745661,0.0019716392427540086,C098
13072701,13072801,37.798609216813304,0.01508226721018194,-0.0028322028024660995,C098
13072801,13090400,30.59990830443536,0.01526907417933518,0.006349751575864815,C098
13090400,15024600,-89.99421529323058,0.01521078471569685,-0.00616729771189739,C098
15024600,98000100,41.3928422705001,0.014913248477236067,-0.00038400242723213296,C098
98000100,98000201,-93.5940695315229,0.014356213211291408,0.005771616855895445,C098
98000201,98050800,77.39695483048803,0.013511041765503867,-0.005955735052040723,C098
98050800,98051500,43.198707730109476,0.012314439824649588,0.0013521200169748226,C098
98051500,10114700,-55.806019100595265,0.010647473444086342,-0.005865316600889514,C098
10114700,13064920,5.412698764438986,0.008233964245017824,0.011003832305599204,C098
13064920,10114700,-5.412698764438986,0.008233964245017824,0.012451153364221312,C098
10114700,98051500,55.806019100595265,0.010647473444086342,-0.004417995542588926,C098
98051500,98050800,-43.198707730109476,0.012314439824649588,0.0027994410751261967,C098
98050800,98000201,-77.39695483048803,0.013511041765503867,-0.004508413994273042,C098
98000201,98000100,93.5940695315229,0.014356213211291408,0.00721893791406103,C098
